PVI Station,PVI Elevation
0,0
0,870.8
885.08,881.038
885.18,881.539
905.84,881.952
905.94,882.454
926.61,882.867
926.71,883.368
947.37,883.781
947.47,884.282
968.13,884.696
968.23,885.197
988.89,885.61
988.99,886.111
1009.65,886.524
1009.75,887.026
1030.42,887.439
1030.52,887.94
1051.18,888.353
1051.28,888.854
1071.94,889.268
1072.04,889.769
1092.7,890.182
1092.8,890.683
1113.46,891.096
1113.56,891.598
1134.23,892.011
1134.32,892.512
1154.99,892.925
1155.09,893.426
1175.75,893.84
1175.85,894.341
1196.51,894.754
1626.08,900.289
1626.18,900.79
1646.84,901.203
1646.94,901.705
1667.6,902.118
1667.7,902.619
1688.37,903.032
1688.47,903.533
1709.13,903.947
1709.23,904.448
1729.89,904.861
1729.99,905.362
1750.65,905.775
1750.75,906.277
1771.41,906.69
1771.51,907.191
1792.18,907.604
1792.28,908.105
1812.94,908.519
1813.04,909.02
1833.7,909.433
1833.8,909.934
1854.46,910.347
1854.56,910.849
1875.22,911.262
1875.32,911.763
1895.99,912.176
2155.18,915.455
2155.28,915.956
2173.56,916.322
2173.66,916.823
2191.95,917.189
2192.04,917.69
2210.33,918.056
2210.43,918.557
2228.71,918.922
2228.81,919.423
2247.09,919.789
2247.19,920.29
2265.47,920.656
2265.57,921.157
2283.85,921.523
2283.95,922.024
2302.24,922.39
2302.34,922.891
2320.62,923.256
2320.72,923.758
2339,924.123
2339.1,924.624
2357.38,924.99
2357.48,925.491
2375.76,925.857
2375.86,926.358
2394.15,926.724
2394.24,927.225
2412.53,927.59
2412.63,928.092
2430.91,928.457
2431.01,928.958
2449.29,929.324
2449.39,929.825
2467.67,930.191
2467.77,930.692
2486.05,931.058
2486.15,931.559
2504.44,931.924
2504.54,932.426
2522.82,932.791
2522.92,933.292
2541.2,933.658
2541.3,934.159
2559.58,934.525
2559.68,935.026
2577.96,935.392
2578.06,935.893
2596.34,936.258
2596.44,936.76
2614.73,937.125
2614.83,937.626
2633.11,937.992
2633.21,938.493
2651.49,938.859
2651.59,939.36
2669.87,939.726
2669.97,940.227
2688.25,940.592
2688.35,941.094
2706.64,941.459
2706.73,941.96
2725.02,942.326
2725.12,942.827
2743.4,943.193
2743.5,943.694
2761.78,944.06
2761.88,944.561
2780.16,944.926
2780.26,945.428
2798.54,945.793
2798.64,946.294
2816.93,946.66
